Date,Day,Month,Year,Customer_Age,Age_Group,Age_Group_NUMBER,Customer_Gender,Country,Product_Category,Order_Quantity,Unit_Cost,Unit_Price,Profit,Revenue
23-05-17,23,May,2017,36,Adults (35-64),1,M,United States,Bikes,2,1083,1701,1236,3402
23-05-17,23,May,2017,40,Adults (35-64),1,M,Australia,Bikes,2,1555,2443,1776,4886
23-05-17,23,May,2017,41,Adults (35-64),1,M,United States,Bikes,2,1252,2295,2086,4590
23-05-17,23,May,2017,46,Adults (35-64),1,F,United States,Bikes,2,2171,3578,2814,7156
24-05-17,24,May,2017,18,Youth (<25),1,M,Germany,Bikes,2,2171,3578,2814,7156
24-05-17,24,May,2017,32,Young Adults (25-34),1,M,United States,Bikes,2,1252,2295,2086,4590
24-05-17,24,May,2017,32,Young Adults (25-34),1,F,United States,Bikes,2,1266,2320,2108,4640
24-05-17,24,May,2017,35,Adults (35-64),1,M,Australia,Bikes,2,1266,2320,2108,4640
24-05-17,24,May,2017,35,Adults (35-64),1,M,Germany,Bikes,2,487,783,592,1566
24-05-17,24,May,2017,41,Adults (35-64),1,F,United States,Bikes,2,1555,2443,1776,4886
24-05-17,24,May,2017,42,Adults (35-64),1,F,United States,Bikes,2,1252,2295,2086,4590
24-05-17,24,May,2017,43,Adults (35-64),1,F,United States,Bikes,2,2171,3578,2814,7156
24-05-17,24,May,2017,45,Adults (35-64),1,M,United States,Bikes,2,1083,1701,1236,3402
25-05-17,25,May,2017,19,Youth (<25),1,M,United States,Bikes,2,713,1120,814,2240
25-05-17,25,May,2017,33,Young Adults (25-34),1,F,Germany,Bikes,2,1519,2443,1848,4886
25-05-17,25,May,2017,34,Young Adults (25-34),1,M,Australia,Bikes,2,1252,2295,2086,4590
25-05-17,25,May,2017,34,Young Adults (25-34),1,F,Australia,Bikes,2,1555,2443,1776,4886
25-05-17,25,May,2017,41,Adults (35-64),1,F,United States,Bikes,2,308,565,514,1130
25-05-17,25,May,2017,47,Adults (35-64),1,F,France,Bikes,2,1519,2443,1848,4886
25-05-17,25,May,2017,47,Adults (35-64),1,M,Australia,Bikes,2,344,540,392,1080
25-05-17,25,May,2017,53,Adults (35-64),1,M,United States,Bikes,2,2171,3578,2814,7156
25-05-17,25,May,2017,54,Adults (35-64),1,M,United States,Bikes,2,713,1120,814,2240
26-05-17,26,May,2017,18,Youth (<25),1,F,United States,Bikes,2,2171,3578,2814,7156
26-05-17,26,May,2017,36,Adults (35-64),1,F,United States,Bikes,2,487,783,592,1566
26-05-17,26,May,2017,36,Adults (35-64),1,M,Australia,Bikes,2,713,1120,814,2240
26-05-17,26,May,2017,40,Adults (35-64),1,F,Australia,Bikes,2,2171,3578,2814,7156
26-05-17,26,May,2017,52,Adults (35-64),1,M,United Kingdom,Bikes,2,713,1120,814,2240
26-05-17,26,May,2017,53,Adults (35-64),1,M,United States,Bikes,2,2171,3578,2814,7156
27-05-17,27,May,2017,31,Young Adults (25-34),1,M,France,Bikes,2,344,540,392,1080
27-05-17,27,May,2017,33,Young Adults (25-34),1,F,Australia,Bikes,2,1252,2295,2086,4590
27-05-17,27,May,2017,33,Young Adults (25-34),1,F,Germany,Bikes,2,2171,3578,2814,7156
27-05-17,27,May,2017,50,Adults (35-64),1,F,Australia,Bikes,2,344,540,392,1080
27-05-17,27,May,2017,51,Adults (35-64),1,F,United States,Bikes,2,2171,3578,2814,7156
28-05-17,28,May,2017,24,Youth (<25),1,M,Australia,Bikes,2,1083,1701,1236,3402
28-05-17,28,May,2017,31,Young Adults (25-34),1,F,Australia,Bikes,2,1252,2295,2086,4590
28-05-17,28,May,2017,34,Young Adults (25-34),1,M,United States,Bikes,2,2171,3578,2814,7156
28-05-17,28,May,2017,44,Adults (35-64),1,M,Australia,Bikes,2,344,540,392,1080
28-05-17,28,May,2017,48,Adults (35-64),1,M,Australia,Bikes,2,344,540,392,1080
29-05-17,29,May,2017,32,Young Adults (25-34),1,F,France,Bikes,2,2171,3578,2814,7156
30-05-17,30,May,2017,32,Young Adults (25-34),1,F,United States,Bikes,2,2171,3578,2814,7156
30-05-17,30,May,2017,35,Adults (35-64),1,F,United States,Bikes,2,295,540,490,1080
30-05-17,30,May,2017,41,Adults (35-64),1,F,United States,Bikes,2,344,540,392,1080
30-05-17,30,May,2017,42,Adults (35-64),1,F,Australia,Bikes,2,1555,2443,1776,4886
30-05-17,30,May,2017,44,Adults (35-64),1,F,United States,Bikes,2,2171,3578,2814,7156
30-05-17,30,May,2017,47,Adults (35-64),1,F,United States,Bikes,2,1083,1701,1236,3402
30-05-17,30,May,2017,52,Adults (35-64),1,M,United States,Bikes,2,1083,1701,1236,3402
31-05-17,31,May,2017,35,Adults (35-64),1,M,United States,Bikes,2,1266,2320,2108,4640
31-05-17,31,May,2017,42,Adults (35-64),1,M,United States,Bikes,2,487,783,592,1566
31-05-17,31,May,2017,48,Adults (35-64),1,F,United States,Bikes,2,713,1120,814,2240
1/6/2017,1,June,2017,18,Youth (<25),1,M,Australia,Bikes,2,344,540,392,1080
1/6/2017,1,June,2017,38,Adults (35-64),1,F,France,Bikes,2,2171,3578,2814,7156
1/6/2017,1,June,2017,41,Adults (35-64),1,M,United States,Bikes,2,344,540,392,1080
1/6/2017,1,June,2017,43,Adults (35-64),1,M,United Kingdom,Bikes,2,713,1120,814,2240
2/6/2017,2,June,2017,18,Youth (<25),1,F,Australia,Bikes,2,713,1120,814,2240
2/6/2017,2,June,2017,18,Youth (<25),1,M,Australia,Bikes,2,344,540,392,1080
2/6/2017,2,June,2017,18,Youth (<25),1,F,Australia,Bikes,2,344,540,392,1080
2/6/2017,2,June,2017,18,Youth (<25),1,M,Australia,Bikes,2,344,540,392,1080
2/6/2017,2,June,2017,20,Youth (<25),1,M,Australia,Bikes,2,344,540,392,1080
2/6/2017,2,June,2017,21,Youth (<25),1,M,Germany,Bikes,2,713,1120,814,2240
2/6/2017,2,June,2017,24,Youth (<25),1,F,Australia,Bikes,2,1555,2443,1776,4886
2/6/2017,2,June,2017,27,Young Adults (25-34),1,M,United Kingdom,Bikes,2,420,769,698,1538
2/6/2017,2,June,2017,31,Young Adults (25-34),1,M,canada,Bikes,2,1083,1701,1236,3402
2/6/2017,2,June,2017,38,Adults (35-64),1,M,Germany,Bikes,2,2171,3578,2814,7156
2/6/2017,2,June,2017,40,Adults (35-64),1,F,United States,Bikes,2,1555,2443,1776,4886
2/6/2017,2,June,2017,43,Adults (35-64),1,M,United Kingdom,Bikes,2,713,1120,814,2240
3/6/2017,3,June,2017,41,Adults (35-64),1,M,United States,Bikes,2,487,783,592,1566
3/6/2017,3,June,2017,42,Adults (35-64),1,M,canada,Bikes,2,713,1120,814,2240
3/6/2017,3,June,2017,62,Adults (35-64),1,F,Australia,Bikes,2,1266,2320,2108,4640
4/6/2017,4,June,2017,18,Youth (<25),1,M,Australia,Bikes,2,344,540,392,1080
4/6/2017,4,June,2017,18,Youth (<25),1,M,canada,Bikes,2,2171,3578,2814,7156
4/6/2017,4,June,2017,19,Youth (<25),1,F,United States,Bikes,2,1083,1701,1236,3402
4/6/2017,4,June,2017,27,Young Adults (25-34),1,F,Germany,Bikes,2,344,540,392,1080
4/6/2017,4,June,2017,29,Young Adults (25-34),1,M,United Kingdom,Bikes,2,1252,2295,2086,4590
4/6/2017,4,June,2017,44,Adults (35-64),1,M,canada,Bikes,2,1266,2320,2108,4640
4/6/2017,4,June,2017,50,Adults (35-64),1,F,canada,Bikes,2,2171,3578,2814,7156
5/6/2017,5,June,2017,20,Youth (<25),1,F,Australia,Bikes,2,713,1120,814,2240
5/6/2017,5,June,2017,40,Adults (35-64),1,M,United States,Bikes,2,713,1120,814,2240
5/6/2017,5,June,2017,43,Adults (35-64),1,F,Australia,Bikes,2,2171,3578,2814,7156
5/6/2017,5,June,2017,51,Adults (35-64),1,F,Australia,Bikes,2,1266,2320,2108,4640
5/6/2017,5,June,2017,56,Adults (35-64),1,M,France,Bikes,2,2171,3578,2814,7156
5/6/2017,5,June,2017,61,Adults (35-64),1,F,United States,Bikes,2,2171,3578,2814,7156
6/6/2017,6,June,2017,19,Youth (<25),1,F,canada,Bikes,2,2171,3578,2814,7156
6/6/2017,6,June,2017,26,Young Adults (25-34),1,F,United States,Bikes,2,2171,3578,2814,7156
6/6/2017,6,June,2017,27,Young Adults (25-34),1,F,Australia,Bikes,2,713,1120,814,2240
6/6/2017,6,June,2017,35,Adults (35-64),1,F,canada,Bikes,2,1266,2320,2108,4640
6/6/2017,6,June,2017,37,Adults (35-64),1,F,United States,Bikes,2,1252,2295,2086,4590
6/6/2017,6,June,2017,42,Adults (35-64),1,F,United States,Bikes,2,1555,2443,1776,4886
6/6/2017,6,June,2017,56,Adults (35-64),1,M,United States,Bikes,2,1555,2443,1776,4886
7/6/2017,7,June,2017,17,Youth (<25),1,M,United States,Bikes,2,713,1120,814,2240
7/6/2017,7,June,2017,18,Youth (<25),1,M,Australia,Bikes,2,344,540,392,1080
7/6/2017,7,June,2017,20,Youth (<25),1,M,Australia,Bikes,2,308,565,514,1130
7/6/2017,7,June,2017,21,Youth (<25),1,M,Australia,Bikes,2,344,540,392,1080
7/6/2017,7,June,2017,22,Youth (<25),1,M,Australia,Bikes,2,1252,2295,2086,4590
7/6/2017,7,June,2017,28,Young Adults (25-34),1,M,United States,Bikes,2,2171,3578,2814,7156
7/6/2017,7,June,2017,44,Adults (35-64),1,F,Germany,Bikes,2,1252,2295,2086,4590
7/6/2017,7,June,2017,45,Adults (35-64),1,F,France,Bikes,2,2171,3578,2814,7156
8/6/2017,8,June,2017,18,Youth (<25),1,M,Australia,Bikes,2,308,565,514,1130
8/6/2017,8,June,2017,19,Youth (<25),1,M,Australia,Bikes,2,344,540,392,1080
8/6/2017,8,June,2017,22,Youth (<25),1,M,Germany,Bikes,2,1555,2443,1776,4886
8/6/2017,8,June,2017,25,Young Adults (25-34),1,F,Australia,Bikes,2,1555,2443,1776,4886
8/6/2017,8,June,2017,36,Adults (35-64),1,M,United States,Bikes,2,1083,1701,1236,3402
8/6/2017,8,June,2017,37,Adults (35-64),1,F,United Kingdom,Bikes,2,1083,1701,1236,3402
8/6/2017,8,June,2017,38,Adults (35-64),1,M,United Kingdom,Bikes,2,1555,2443,1776,4886
8/6/2017,8,June,2017,38,Adults (35-64),1,M,Germany,Bikes,2,1519,2443,1848,4886
9/6/2017,9,June,2017,17,Youth (<25),1,F,Australia,Bikes,2,487,783,592,1566
9/6/2017,9,June,2017,20,Youth (<25),1,F,Australia,Bikes,2,1266,2320,2108,4640
9/6/2017,9,June,2017,36,Adults (35-64),1,F,Australia,Bikes,2,1266,2320,2108,4640
9/6/2017,9,June,2017,41,Adults (35-64),1,M,United States,Bikes,2,487,783,592,1566
9/6/2017,9,June,2017,42,Adults (35-64),1,F,United States,Bikes,2,344,540,392,1080
10/6/2017,10,June,2017,17,Youth (<25),1,M,Australia,Bikes,2,344,540,392,1080
10/6/2017,10,June,2017,26,Young Adults (25-34),1,M,Australia,Bikes,2,713,1120,814,2240
10/6/2017,10,June,2017,27,Young Adults (25-34),1,F,United Kingdom,Bikes,2,1083,1701,1236,3402
10/6/2017,10,June,2017,40,Adults (35-64),1,F,United States,Bikes,2,1555,2443,1776,4886
10/6/2017,10,June,2017,43,Adults (35-64),1,M,Australia,Bikes,2,713,1120,814,2240
10/6/2017,10,June,2017,44,Adults (35-64),1,M,United States,Bikes,2,295,540,490,1080
10/6/2017,10,June,2017,48,Adults (35-64),1,M,Australia,Bikes,2,295,540,490,1080
10/6/2017,10,June,2017,56,Adults (35-64),1,M,United States,Bikes,2,1555,2443,1776,4886
11/6/2017,11,June,2017,19,Youth (<25),1,M,Australia,Bikes,2,713,1120,814,2240
11/6/2017,11,June,2017,37,Adults (35-64),1,M,United States,Bikes,2,487,783,592,1566
11/6/2017,11,June,2017,42,Adults (35-64),1,F,United States,Bikes,2,1555,2443,1776,4886
11/6/2017,11,June,2017,42,Adults (35-64),1,F,United States,Bikes,2,1555,2443,1776,4886
11/6/2017,11,June,2017,44,Adults (35-64),1,F,Australia,Bikes,2,295,540,490,1080
12/6/2017,12,June,2017,19,Youth (<25),1,M,Australia,Bikes,2,308,565,514,1130
12/6/2017,12,June,2017,19,Youth (<25),1,M,Germany,Bikes,2,2171,3578,2814,7156
12/6/2017,12,June,2017,26,Young Adults (25-34),1,M,United States,Bikes,2,2171,3578,2814,7156
12/6/2017,12,June,2017,27,Young Adults (25-34),1,F,United States,Bikes,2,344,540,392,1080
12/6/2017,12,June,2017,30,Young Adults (25-34),1,F,United States,Bikes,2,487,783,592,1566
12/6/2017,12,June,2017,34,Young Adults (25-34),1,M,Germany,Bikes,2,2171,3578,2814,7156
12/6/2017,12,June,2017,40,Adults (35-64),1,F,United States,Bikes,2,487,783,592,1566
12/6/2017,12,June,2017,41,Adults (35-64),1,M,France,Bikes,2,1555,2443,1776,4886
12/6/2017,12,June,2017,43,Adults (35-64),1,F,Germany,Bikes,2,1252,2295,2086,4590
12/6/2017,12,June,2017,43,Adults (35-64),1,F,canada,Bikes,2,713,1120,814,2240
12/6/2017,12,June,2017,45,Adults (35-64),1,M,Australia,Bikes,2,344,540,392,1080
12/6/2017,12,June,2017,61,Adults (35-64),1,F,United States,Bikes,2,1083,1701,1236,3402
13-06-17,13,June,2017,40,Adults (35-64),1,F,Australia,Bikes,2,1252,2295,2086,4590
13-06-17,13,June,2017,43,Adults (35-64),1,M,United States,Bikes,2,1252,2295,2086,4590
13-06-17,13,June,2017,43,Adults (35-64),1,F,United Kingdom,Bikes,2,344,540,392,1080
13-06-17,13,June,2017,47,Adults (35-64),1,M,Australia,Bikes,2,344,540,392,1080
14-06-17,14,June,2017,19,Youth (<25),1,M,Australia,Bikes,2,1252,2295,2086,4590
14-06-17,14,June,2017,25,Young Adults (25-34),1,F,Australia,Bikes,2,1555,2443,1776,4886
14-06-17,14,June,2017,43,Adults (35-64),1,M,United States,Bikes,2,2171,3578,2814,7156
14-06-17,14,June,2017,44,Adults (35-64),1,M,United States,Bikes,2,1898,3375,2954,6750
15-06-17,15,June,2017,22,Youth (<25),1,F,United States,Bikes,2,344,540,392,1080
15-06-17,15,June,2017,26,Young Adults (25-34),1,F,United States,Bikes,2,2171,3578,2814,7156
15-06-17,15,June,2017,27,Young Adults (25-34),1,M,Australia,Bikes,2,1555,2443,1776,4886
15-06-17,15,June,2017,40,Adults (35-64),1,F,United States,Bikes,2,1555,2443,1776,4886
15-06-17,15,June,2017,40,Adults (35-64),1,M,Germany,Bikes,2,487,783,592,1566
15-06-17,15,June,2017,42,Adults (35-64),1,M,United States,Bikes,2,487,783,592,1566
16-06-17,16,June,2017,37,Adults (35-64),1,F,United States,Bikes,2,713,1120,814,2240
16-06-17,16,June,2017,49,Adults (35-64),1,F,canada,Bikes,2,1519,2443,1848,4886
17-06-17,17,June,2017,17,Youth (<25),1,F,Australia,Bikes,2,1083,1701,1236,3402
17-06-17,17,June,2017,18,Youth (<25),1,M,United States,Bikes,2,1083,1701,1236,3402
17-06-17,17,June,2017,21,Youth (<25),1,F,Australia,Bikes,2,1555,2443,1776,4886
17-06-17,17,June,2017,27,Young Adults (25-34),1,F,Australia,Bikes,2,1555,2443,1776,4886
17-06-17,17,June,2017,38,Adults (35-64),1,F,canada,Bikes,2,1555,2443,1776,4886
17-06-17,17,June,2017,44,Adults (35-64),1,M,United States,Bikes,2,344,540,392,1080
18-06-17,18,June,2017,18,Youth (<25),1,M,Australia,Bikes,2,295,540,490,1080
18-06-17,18,June,2017,18,Youth (<25),1,F,Australia,Bikes,2,1266,2320,2108,4640
18-06-17,18,June,2017,19,Youth (<25),1,M,United States,Bikes,2,713,1120,814,2240
18-06-17,18,June,2017,22,Youth (<25),1,M,Germany,Bikes,2,1555,2443,1776,4886
18-06-17,18,June,2017,24,Youth (<25),1,F,United States,Bikes,2,713,1120,814,2240
18-06-17,18,June,2017,28,Young Adults (25-34),1,F,France,Bikes,2,344,540,392,1080
18-06-17,18,June,2017,43,Adults (35-64),1,F,France,Bikes,2,1519,2443,1848,4886
18-06-17,18,June,2017,44,Adults (35-64),1,F,United States,Bikes,2,1083,1701,1236,3402
18-06-17,18,June,2017,46,Adults (35-64),1,F,Australia,Bikes,2,344,540,392,1080
18-06-17,18,June,2017,57,Adults (35-64),1,F,United States,Bikes,2,2171,3578,2814,7156
18-06-17,18,June,2017,62,Adults (35-64),1,F,United States,Bikes,2,1083,1701,1236,3402
19-06-17,19,June,2017,17,Youth (<25),1,F,canada,Bikes,2,1083,1701,1236,3402
19-06-17,19,June,2017,18,Youth (<25),1,F,Australia,Bikes,2,344,540,392,1080
19-06-17,19,June,2017,26,Young Adults (25-34),1,F,Australia,Bikes,2,344,540,392,1080
19-06-17,19,June,2017,26,Young Adults (25-34),1,F,United States,Bikes,2,2171,3578,2814,7156
19-06-17,19,June,2017,38,Adults (35-64),1,F,United Kingdom,Bikes,2,1519,2443,1848,4886
19-06-17,19,June,2017,39,Adults (35-64),1,M,France,Bikes,2,1898,3375,2954,6750
19-06-17,19,June,2017,40,Adults (35-64),1,M,France,Bikes,2,487,783,592,1566
19-06-17,19,June,2017,40,Adults (35-64),1,F,canada,Bikes,2,344,540,392,1080
19-06-17,19,June,2017,41,Adults (35-64),1,F,Germany,Bikes,2,487,783,592,1566
19-06-17,19,June,2017,41,Adults (35-64),1,F,canada,Bikes,2,1555,2443,1776,4886
19-06-17,19,June,2017,42,Adults (35-64),1,M,canada,Bikes,2,713,1120,814,2240
19-06-17,19,June,2017,44,Adults (35-64),1,F,United States,Bikes,2,1252,2295,2086,4590
19-06-17,19,June,2017,57,Adults (35-64),1,F,United States,Bikes,2,2171,3578,2814,7156
20-06-17,20,June,2017,17,Youth (<25),1,M,Australia,Bikes,2,344,540,392,1080
20-06-17,20,June,2017,20,Youth (<25),1,F,Australia,Bikes,2,308,565,514,1130
20-06-17,20,June,2017,22,Youth (<25),1,M,United States,Bikes,2,1519,2443,1848,4886
20-06-17,20,June,2017,24,Youth (<25),1,M,United States,Bikes,2,2171,3578,2814,7156
20-06-17,20,June,2017,42,Adults (35-64),1,M,United States,Bikes,2,344,540,392,1080
20-06-17,20,June,2017,43,Adults (35-64),1,F,United States,Bikes,2,1266,2320,2108,4640
20-06-17,20,June,2017,46,Adults (35-64),1,M,Australia,Bikes,2,344,540,392,1080
21-06-17,21,June,2017,18,Youth (<25),1,F,Australia,Bikes,2,344,540,392,1080
21-06-17,21,June,2017,26,Young Adults (25-34),1,F,Australia,Bikes,2,1555,2443,1776,4886
21-06-17,21,June,2017,28,Young Adults (25-34),1,F,France,Bikes,2,344,540,392,1080
21-06-17,21,June,2017,37,Adults (35-64),1,M,United States,Bikes,2,420,769,698,1538
21-06-17,21,June,2017,37,Adults (35-64),1,F,Germany,Bikes,2,2171,3578,2814,7156
21-06-17,21,June,2017,41,Adults (35-64),1,M,United States,Bikes,2,2171,3578,2814,7156
21-06-17,21,June,2017,43,Adults (35-64),1,F,United States,Bikes,2,2171,3578,2814,7156
21-06-17,21,June,2017,48,Adults (35-64),1,M,canada,Bikes,2,344,540,392,1080
21-06-17,21,June,2017,52,Adults (35-64),1,F,France,Bikes,2,713,1120,814,2240
22-06-17,22,June,2017,20,Youth (<25),1,M,Australia,Bikes,2,344,540,392,1080
22-06-17,22,June,2017,25,Young Adults (25-34),1,F,Australia,Bikes,2,1083,1701,1236,3402
22-06-17,22,June,2017,42,Adults (35-64),1,F,United States,Bikes,2,1555,2443,1776,4886
22-06-17,22,June,2017,44,Adults (35-64),1,F,Germany,Bikes,2,1252,2295,2086,4590
22-06-17,22,June,2017,60,Adults (35-64),1,M,United States,Bikes,2,2171,3578,2814,7156
23-06-17,23,June,2017,17,Youth (<25),1,F,Australia,Bikes,2,713,1120,814,2240
23-06-17,23,June,2017,17,Youth (<25),1,F,United States,Bikes,2,344,540,392,1080
23-06-17,23,June,2017,21,Youth (<25),1,F,Australia,Bikes,2,1555,2443,1776,4886
23-06-17,23,June,2017,27,Young Adults (25-34),1,F,United States,Bikes,2,2171,3578,2814,7156
23-06-17,23,June,2017,29,Young Adults (25-34),1,F,United Kingdom,Bikes,2,1266,2320,2108,4640
23-06-17,23,June,2017,39,Adults (35-64),1,M,United States,Bikes,2,713,1120,814,2240
23-06-17,23,June,2017,40,Adults (35-64),1,M,Australia,Bikes,2,1252,2295,2086,4590
23-06-17,23,June,2017,40,Adults (35-64),1,F,United States,Bikes,2,1555,2443,1776,4886
23-06-17,23,June,2017,41,Adults (35-64),1,M,United States,Bikes,2,487,783,592,1566
23-06-17,23,June,2017,43,Adults (35-64),1,F,Australia,Bikes,2,2171,3578,2814,7156
23-06-17,23,June,2017,43,Adults (35-64),1,F,United States,Bikes,2,713,1120,814,2240
23-06-17,23,June,2017,44,Adults (35-64),1,M,United States,Bikes,2,344,540,392,1080
23-06-17,23,June,2017,45,Adults (35-64),1,M,Germany,Bikes,2,308,565,514,1130
23-06-17,23,June,2017,53,Adults (35-64),1,M,canada,Bikes,2,713,1120,814,2240
